Breed;Country of Origin;Fur Color;Color of Eyes;Character Traits;Common Health Problems
Labrador Retriever;Canada;Yellow, Black, Chocolate;Brown;Loyal, friendly, intelligent, energetic, good-natured;Hip dysplasia, obesity, ear infections
German Shepherd;Germany;Black, Tan;Brown;Loyal, intelligent, protective, confident, trainable;Hip dysplasia, elbow dysplasia, pancreatitis
Bulldog;England;White, Red;Brown;Loyal, calm, gentle, brave;Skin allergies, respiratory issues, obesity
Poodle;France;White, Black, Brown, Apricot;Brown, Blue;Intelligent, active, affectionate, hypoallergenic;Hip dysplasia, epilepsy, bladder stones
Beagle;England;White, Tan, Red, Lemon;Brown;Curious, friendly, energetic, good-natured;Ear infections, hip dysplasia, epilepsy
Chihuahua;Mexico;Black, Brown, Tan, White;Brown, Blue;Loyal, energetic, confident, sensitive;Dental problems, eye issues, respiratory issues
Boxer;Germany;Fawn, Brindle;Brown;Loyal, energetic, intelligent, playful, protective;Hip dysplasia, cancer, heart conditions
Golden Retriever;Scotland;Golden;Brown;Intelligent, friendly, kind, loyal, good-natured;Hip dysplasia, cancer, skin allergies
Pug;China;Fawn, Black;Brown;Loyal, playful, affectionate, social, charming;Eye problems, respiratory issues, obesity
Rottweiler;Germany;Black, Tan;Brown;Loyal, protective, confident, strong;Hip dysplasia, cancer, elbow dysplasia
Siberian Husky;Russia;Black, White;Blue;Independent, energetic, intelligent, playful, strong;Hip dysplasia, eye problems, hereditary myopathy
Dachshund;Germany;Black, Tan;Brown, Blue;Loyal, energetic, playful, curious;Intervertebral disc disease, hip dysplasia, diabetes
Shih Tzu;China;Black, White, Brown;Brown;Affectionate, playful, confident, good-natured;Dental problems, respiratory issues, eye problems
Bichon Frise;France;White;Brown;Playful, affectionate, intelligent, social;Dental problems, eye problems, bladder stones
Australian Shepherd;Australia;Black, Red;Brown, Blue;Intelligent, energetic, loyal, trainable;Hip dysplasia, eye problems, epilepsy
Basset Hound;France;Black, Tan;Brown;Affectionate, patient, gentle, good-natured;Dental problems, ear infections, obesity
Cocker Spaniel;England;Black, Brown;Brown;Affectionate, intelligent, energetic, good-natured;Ear infections, hip dysplasia, eye problems
French Bulldog;France;White, Black, Brindle;Brown;Affectionate, playful, good-natured;Breathing problems, eye problems, hip dysplasia
Pomeranian;Germany;Orange, Sable, Black;Brown;Playful, energetic, intelligent, good-natured;Dental problems, eye problems, obesity
Great Dane;Germany;Black, Blue, Fawn, Harlequin;Brown;Gentle, loyal, intelligent, good-natured;Hip dysplasia, cancer, heart conditions
Mastiff;England;Apricot, Fawn;Brown;Loyal, gentle, protective, good-natured;Hip dysplasia, heart conditions, cancer
Newfoundland;Canada;Black, Brown, Grey;Brown;Loyal, intelligent, gentle, good-natured;Hip dysplasia, heart conditions, cancer
Saint Bernard;Switzerland;Red, White;Brown;Loyal, intelligent, gentle, protective;Hip dysplasia, cancer, heart conditions
Old English Sheepdog;England;Blue, Grey;Brown;Gentle, intelligent, good-natured, protective;Hip dysplasia, eye problems, skin allergies
Irish Wolfhound;Ireland;Grey, Red, Black;Brown;Gentle, loyal, intelligent, good-natured;Hip dysplasia, heart conditions, cancer
Greyhound;England;Black, White, Brindle;Brown;Intelligent, athletic, sensitive, good-natured;Hip dysplasia, eye problems, heart conditions
Scottish Deerhound;Scotland;Blue, Grey;Brown;Gentle, intelligent, good-natured, independent;Hip dysplasia, heart conditions, cancer
Great Pyrenees;France;White;Brown;Loyal, intelligent, gentle, protective;Hip dysplasia, cancer, skin allergies
Shar Pei;China;Cream, Fawn;Brown;Independent, loyal, intelligent, good-natured;Skin allergies, eye problems, hip dysplasia
Doberman Pinscher;Germany;Black, Red;Brown;Loyal, energetic, intelligent, protective;Hip dysplasia, heart conditions, cancer
Weimaraner;Germany;Silver, Grey;Blue, Grey;Energetic, intelligent, good-natured, loyal;Hip dysplasia, eye problems, cancer
Belgian Malinois;Belgium;Fawn, Mahogany;Brown;Intelligent, energetic, loyal, protective;Hip dysplasia, eye problems, skin allergies
Rhodesian Ridgeback;Rhodesia;Light Wheaten;Brown;Intelligent, athletic, loyal, good-natured;Hip dysplasia, eye problems, cancer
English Setter;England;Black, White, Liver;Brown;Intelligent, energetic, affectionate, good-natured;Hip dysplasia, eye problems, cancer
Pointer;England;Black, White, Liver;Brown;Intelligent, energetic, good-natured, affectionate;Hip dysplasia, eye problems, cancer
Gordon Setter;Scotland;Black, Tan;Brown;Intelligent, energetic, good-natured, affectionate;Hip dysplasia, eye problems, cancer
Irish Setter;Ireland;Red;Brown;Intelligent, energetic, good-natured, affectionate;Hip dysplasia, eye problems, cancer
Papillon;France;White, Black, Sable, Red;Brown;Intelligent, energetic, affectionate, good-natured;Dental problems, eye problems, bladder stones
Pekingese;China;Black, White, Red;Brown;Independent, intelligent, affectionate, good-natured;Dental problems, respiratory issues, eye problems
Toy Poodle;France;White, Black, Brown, Apricot;Brown, Blue;Intelligent, active, affectionate, hypoallergenic;Hip dysplasia, epilepsy, bladder stones
Miniature Poodle;France;White, Black, Brown, Apricot;Brown, Blue;Intelligent, active, affectionate, hypoallergenic;Hip dysplasia, epilepsy, bladder stones
Standard Poodle;France;White, Black, Brown, Apricot;Brown, Blue;Intelligent, active, affectionate, hypoallergenic;Hip dysplasia, epilepsy, bladder stones
Affenpinscher;Germany;Black, Brown, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye problems, skin allergies
Boston Terrier;United States;Black, White;Brown;Intelligent, energetic, affectionate, good-natured;Eye problems, respiratory issues, skin allergies
Brussels Griffon;Belgium;Black, Red;Brown;Intelligent, energetic, affectionate, good-natured;Dental problems, eye problems, respiratory issues
Cairn Terrier;Scotland;Black, Wheaten, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye problems, skin allergies
Chinese Crested;China;Pink, White, Black;Brown;Intelligent, energetic, affectionate, good-natured;Dental problems, eye problems, skin allergies
Miniature Schnauzer;Germany;Black, Salt & Pepper, White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, pancreatitis, diabetes
Standard Schnauzer;Germany;Black, Salt & Pepper;Brown;Intelligent, energetic, playful, good-natured;Dental problems, pancreatitis, diabetes
West Highland White Terrier;Scotland;White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
Australian Terrier;Australia;Red, Black & Tan;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
Border Terrier;England;Red, Wheaten, Black;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
Coton de Tulear;Madagascar;White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
English Toy Spaniel;England;White, Blenheim;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
Australian Stumpy Tail Cattle Dog;Australia;Red, Black;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Pug;China;Black, Fawn;Brown;Intelligent, energetic, playful, good-natured;Dental problems, respiratory issues, eye problems
American Eskimo Dog;United States;White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
Australian Cattle Dog;Australia;Blue, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
Basset Hound;France;Black, White, Red;Brown;Gentle, good-natured, loyal, intelligent;Dental problems, eye issues, skin allergies
Australian Kelpie;Australia;Red, Black;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Bloodhound;England;Red, Black;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Border Collie;England;Black, White, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Australian Shepherd;Australia;Blue Merle;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
American Bulldog;United States;White, Red;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Australian Shepherd;Australia;Black, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, skin allergies, hip dysplasia
Borzoi;Russia;White, Cream, Red;Brown;Gentle, good-natured, loyal, intelligent;Dental problems, eye issues, skin allergies
Bull Terrier;England;White, Red;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Cane Corso;Italy;Black, Red;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Cardigan Welsh Corgi;Wales;Red, Sable, Black;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Chesapeake Bay Retriever;United States;Brown, Tan;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Saluki;Middle East;Cream, Red;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
English Setter;England;Liver, Blue;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
English Springer Spaniel;England;Black, White, Liver;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Field Spaniel;England;Black, Liver;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Finnish Spitz;Finland;Red, Golden;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Flat-Coated Retriever;England;Black, Liver;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Australian Terrier;Australia;Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Giant Schnauzer;Germany;Black, Salt & Pepper;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Golden Retriever;Scotland;Gold;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Gordon Setter;Scotland;Black, Tan;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Australian Cattle Dog;Australia;Blue, Red;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Greyhound;England;White, Black, Red;Brown;Intelligent, energetic, good-natured, loyal;Dental problems, eye issues, skin allergies
Harrier;England;Red, Black & Tan;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Irish Setter;Ireland;Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Irish Terrier;Ireland;Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Irish Water Spaniel;Ireland;Brown;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Irish Wolfhound;Ireland;Grey, Red;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Italian Greyhound;Italy;Red, Black;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Jack Russell Terrier;England;White, Black & Tan;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Japanese Chin;Japan;Black, Red;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Keeshond;Netherlands;Black, Cream;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Kerry Blue Terrier;Ireland;Blue;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
Kuvasz;Hungary;White;Brown;Loyal, intelligent, good-natured, energetic;Dental problems, eye issues, skin allergies
Lhasa Apso;Tibet;Black, White;Brown;Intelligent, energetic, playful, good-natured;Dental problems, eye issues, skin allergies
